provinsi,jenis,daerah,tahun,periode,gk,jenis_encoded,daerah_encoded,gk_scaled,cluster,PC1,PC2,gk_original
ACEH,TOTAL,PERDESAAN,2013,MARET,319416.0,2,0,0.09770315722680595,3,0.42216954056724265,-1.1844012100844585,319416.0
ACEH,TOTAL,PERDESAAN,2013,SEPTEMBER,337962.0,2,0,0.21715288219397327,3,0.5272413493621527,-1.1821939606784506,337962.0
ACEH,TOTAL,PERDESAAN,2014,MARET,350204.0,2,0,0.2960002634647628,3,0.5965980345377856,-1.1807369808861317,350204.0
ACEH,TOTAL,PERDESAAN,2014,SEPTEMBER,369232.0,2,0,0.4185544188985631,3,0.7044005999292201,-1.178472366322478,369232.0
ACEH,TOTAL,PERDESAANPERKOTAAN,2013,MARET,313294.0,2,1,0.05827302586430199,5,0.4816373037733027,-0.2124200527243395,313294.0
ACEH,TOTAL,PERDESAANPERKOTAAN,2013,SEPTEMBER,313294.0,2,1,0.05827302586430199,5,0.4816373037733027,-0.2124200527243395,313294.0
ACEH,TOTAL,PERDESAANPERKOTAAN,2014,MARET,313294.0,2,1,0.05827302586430199,5,0.4816373037733027,-0.2124200527243395,313294.0
ACEH,TOTAL,PERDESAANPERKOTAAN,2014,SEPTEMBER,313294.0,2,1,0.05827302586430199,5,0.4816373037733027,-0.2124200527243395,313294.0
ACEH,TOTAL,PERKOTAAN,2015,MARET,410414.0,2,2,0.6837964427095135,5,1.1260195328266662,0.7718484357678331,410414.0
ACEH,TOTAL,PERKOTAAN,2015,SEPTEMBER,420324.0,2,2,0.7476240483616556,5,1.1821643416888228,0.7730278729302152,420324.0
ACEH,TOTAL,PERKOTAAN,2016,MARET,427970.0,2,2,0.7968698478385757,5,1.2254825262054778,0.7739378604724526,427970.0
ACEH,TOTAL,PERKOTAAN,2016,SEPTEMBER,445488.0,2,2,0.9096985053374886,5,1.3247302317198328,0.7760227626127764,445488.0
ACEH,TOTAL,PERDESAAN,2015,MARET,382117.0,2,0,0.5015431877005663,3,0.7774001823902584,-1.1769388599816817,382117.0
ACEH,TOTAL,PERDESAAN,2015,SEPTEMBER,394419.0,2,0,0.5807770125979076,3,0.8470967957729275,-1.1754747392983693,394419.0
ACEH,TOTAL,PERDESAAN,2016,MARET,403985.0,2,0,0.6423890081244861,3,0.9012926829147428,-1.1743362432443485,403985.0
ACEH,TOTAL,PERDESAAN,2016,SEPTEMBER,415826.0,2,0,0.7186536578244875,3,0.9683775145733499,-1.172926988406834,415826.0
ACEH,TOTAL,PERDESAANPERKOTAAN,2015,MARET,390150.0,2,1,0.5532815485687457,5,0.9170626751062908,-0.2032730474214094,390150.0
ACEH,TOTAL,PERDESAANPERKOTAAN,2015,SEPTEMBER,401772.0,2,1,0.6281356790318331,5,0.9829067688092156,-0.20188985683602045,401772.0
ACEH,TOTAL,PERDESAANPERKOTAAN,2016,MARET,410956.0,2,1,0.6872873168026982,5,1.0349384463662332,-0.2007968244546564,410956.0
ACEH,TOTAL,PERDESAANPERKOTAAN,2016,SEPTEMBER,424765.0,2,1,0.7762273174535994,5,1.1131729232156302,-0.19915334839256416,424765.0
ACEH,TOTAL,PERKOTAAN,2017,MARET,458011.0,2,2,0.9903557309259625,5,1.395678913998419,0.7775131855779139,458011.0
ACEH,TOTAL,PERKOTAAN,2017,SEPTEMBER,479872.0,2,2,1.131156466260118,2,1.519531756232083,0.7801149692112977,479872.0
ACEH,TOTAL,PERKOTAAN,2018,MARET,486338.0,2,2,1.1728022077481857,2,1.5561646860103577,0.7808845192306683,486338.0
ACEH,TOTAL,PERKOTAAN,2018,SEPTEMBER,496752.0,2,2,1.239875939863363,2,1.6151648918116188,0.7821239398773937,496752.0
ACEH,TOTAL,PERDESAAN,2017,MARET,425730.0,2,0,0.7824426191139745,3,1.024488330614803,-1.1717482653335514,425730.0
ACEH,TOTAL,PERDESAAN,2017,SEPTEMBER,442869.0,2,0,0.8928302410385017,3,1.1215888229547124,-1.1697084698213347,442869.0
ACEH,TOTAL,PERDESAAN,2018,MARET,454740.0,2,0,0.9692881125517792,3,1.188843618716838,-1.168295644538324,454740.0
ACEH,TOTAL,PERDESAAN,2018,SEPTEMBER,467242.0,2,0,1.0498100828709598,3,1.2596733261229613,-1.1668077208850343,467242.0
ACEH,TOTAL,PERDESAANPERKOTAAN,2017,MARET,435454.0,2,1,0.845072249523806,5,1.1737311332991411,-0.19788119866211995,435454.0
ACEH,TOTAL,PERDESAANPERKOTAAN,2017,SEPTEMBER,454124.0,2,1,0.9653206246525138,5,1.2795054603885925,-0.1956591914147261,454124.0
ACEH,TOTAL,PERDESAANPERKOTAAN,2018,MARET,464626.0,2,1,1.0329611407533006,5,1.339004227560174,-0.19440929746121072,464626.0
ACEH,TOTAL,PERDESAANPERKOTAAN,2018,SEPTEMBER,476665.0,2,1,1.110501054420923,2,1.4072108223020008,-0.19297647768341886,476665.0
ACEH,TOTAL,PERKOTAAN,2019,MARET,501617.0,2,2,1.2712100772496064,2,1.6427274039321431,0.7827029471220946,501617.0
ACEH,TOTAL,PERKOTAAN,2019,SEPTEMBER,517900.0,2,2,1.3760844367686609,2,1.734978253851668,0.7846408659228078,517900.0
ACEH,TOTAL,PERKOTAAN,2020,MARET,541451.0,2,2,1.5277700009173591,2,1.86840574058352,0.7874437846525012,541451.0
ACEH,TOTAL,PERKOTAAN,2020,SEPTEMBER,543685.0,2,2,1.5421585852793052,2,1.8810624008255035,0.7877096638271491,543685.0
ACEH,TOTAL,PERDESAAN,2019,MARET,479569.0,2,0,1.129204925946031,3,1.3295115762585619,-1.165340624830475,479569.0
ACEH,TOTAL,PERDESAAN,2019,SEPTEMBER,497615.0,2,0,1.2454342873586,3,1.4317506499948367,-1.1631928828494105,497615.0
ACEH,TOTAL,PERDESAAN,2020,MARET,512886.0,2,0,1.343790631043147,3,1.5182680441556835,-1.1613754070767832,512886.0
ACEH,TOTAL,PERDESAAN,2020,SEPTEMBER,514663.0,2,0,1.3552358031161902,3,1.5283355845540743,-1.1611639176885338,514663.0
ACEH,TOTAL,PERDESAANPERKOTAAN,2019,MARET,486935.0,2,1,1.176647321832376,2,1.4653952004063746,-0.1917541951750774,486935.0
ACEH,TOTAL,PERDESAANPERKOTAAN,2019,SEPTEMBER,504414.0,2,1,1.2892247909740304,2,1.5644219525861565,-0.18967393461389914,504414.0
ACEH,TOTAL,PERDESAANPERKOTAAN,2020,MARET,522125.0,2,1,1.4032965088050182,2,1.664763093833145,-0.18756606260754705,522125.0
ACEH,TOTAL,PERDESAANPERKOTAAN,2020,SEPTEMBER,524208.0,2,1,1.4167125433734755,2,1.6765642680874207,-0.18731815467523205,524208.0
ACEH,TOTAL,PERKOTAAN,2021,MARET,565776.0,2,2,1.6844406878485758,2,2.0062183011861396,0.7903388208760073,565776.0
ACEH,TOTAL,PERKOTAAN,2021,SEPTEMBER,577270.0,2,2,1.758470405241686,2,2.071337214714054,0.7917067775606107,577270.0
ACEH,TOTAL,PERKOTAAN,2022,MARET,606394.0,2,2,1.9460501415699392,2,2.2363383664094574,0.7951729660487251,606394.0
ACEH,TOTAL,PERKOTAAN,2022,SEPTEMBER,646232.0,2,2,2.202635828146129,2,2.4620393649413037,0.7999142796385313,646232.0
ACEH,TOTAL,PERDESAAN,2021,MARET,529035.0,2,0,1.4478019331295693,3,1.6097597210794947,-1.159453436265955,529035.0
ACEH,TOTAL,PERDESAAN,2021,SEPTEMBER,541000.0,2,0,1.5248652329911112,3,1.6775470710326434,-1.1580294235870547,541000.0
ACEH,TOTAL,PERDESAAN,2022,MARET,565762.0,2,0,1.6843505176690472,3,1.8178354420765106,-1.155082377874148,565762.0
ACEH,TOTAL,PERDESAAN,2022,SEPTEMBER,602900.0,2,0,1.923546241050405,3,2.028239671291725,-1.1506624043790374,602900.0
ACEH,TOTAL,PERDESAANPERKOTAAN,2021,MARET,541109.0,2,1,1.5255672722460139,2,1.7723163785394198,-0.1853066846972885,541109.0
ACEH,TOTAL,PERDESAANPERKOTAAN,2021,SEPTEMBER,552939.0,2,1,1.601761073947814,2,1.839338890026737,-0.18389873902312315,552939.0
ACEH,TOTAL,PERDESAANPERKOTAAN,2022,MARET,579228.0,2,1,1.7710813489214938,2,1.9882784339396768,-0.1807699576344387,579228.0
ACEH,TOTAL,PERDESAANPERKOTAAN,2022,SEPTEMBER,617293.0,2,1,2.0162476263330773,2,2.203934553953602,-0.17623965737348268,617293.0
SUMATERA UTARA,MAKANAN,PERKOTAAN,2015,MARET,261677.0,0,2,-0.2741779853311189,8,-0.6491322057624268,1.216723031707844,261677.0
SUMATERA UTARA,MAKANAN,PERKOTAAN,2015,SEPTEMBER,273271.0,0,2,-0.19950419522708907,8,-0.5834467452227856,1.2181028898774358,273271.0
SUMATERA UTARA,MAKANAN,PERKOTAAN,2016,MARET,290096.0,0,2,-0.09113896161484975,8,-0.4881252104996993,1.220105314726788,290096.0
SUMATERA UTARA,MAKANAN,PERKOTAAN,2016,SEPTEMBER,302027.0,0,2,-0.014294646475020475,8,-0.4205304865305377,1.2215252809007922,302027.0
SUMATERA UTARA,MAKANAN,PERDESAAN,2015,MARET,266143.0,0,0,-0.2454136980614452,0,-0.8121337587466816,-0.7281649805148167,266143.0
SUMATERA UTARA,MAKANAN,PERDESAAN,2015,SEPTEMBER,284650.0,0,0,-0.12621516145153652,0,-0.7072829032863452,-0.7259623726879545,284650.0
SUMATERA UTARA,MAKANAN,PERDESAAN,2016,MARET,304942.0,0,0,0.004480073048288744,0,-0.5923191836666799,-0.7235473233540435,304942.0
SUMATERA UTARA,MAKANAN,PERDESAAN,2016,SEPTEMBER,313234.0,0,0,0.057886582237750166,0,-0.545341105454268,-0.722560452218779,313234.0
